         216           1
   0.00000   0.00000   0.00000
   0.01000   0.09804   0.00000
   0.02000   0.13587   0.00000
   0.03000   0.16419   0.00000
   0.04000   0.18759   0.00000
   0.05000   0.20784   0.00000
   0.06000   0.22585   0.00000
   0.07000   0.24215   0.00000
   0.08000   0.25709   0.00000
   0.09000   0.27092   0.00000
   0.10000   0.28382   0.00000
   0.11000   0.29590   0.00000
   0.12000   0.30729   0.00000
   0.13000   0.31807   0.00000
   0.14000   0.32830   0.00000
   0.15000   0.33803   0.00000
   0.16000   0.34733   0.00000
   0.17000   0.35621   0.00000
   0.18000   0.36473   0.00000
   0.19000   0.37290   0.00000
   0.20000   0.38076   0.00000
   0.21000   0.38833   0.00000
   0.22000   0.39562   0.00000
   0.23000   0.40267   0.00000
   0.24000   0.40947   0.00000
   0.25000   0.41604   0.00000
   0.26000   0.42241   0.00000
   0.27000   0.42858   0.00000
   0.28000   0.43456   0.00000
   0.29000   0.44036   0.00000
   0.30000   0.44599   0.00000
   0.31000   0.45146   0.00000
   0.32000   0.45678   0.00000
   0.33000   0.46196   0.00000
   0.34000   0.46699   0.00000
   0.35000   0.47189   0.00000
   0.36000   0.47667   0.00000
   0.37000   0.48132   0.00000
   0.38000   0.48586   0.00000
   0.39000   0.49028   0.00000
   0.40000   0.49460   0.00000
   0.41000   0.49882   0.00000
   0.42000   0.50293   0.00000
   0.43000   0.50695   0.00000
   0.44000   0.51088   0.00000
   0.45000   0.51473   0.00000
   0.46000   0.51848   0.00000
   0.47000   0.52216   0.00000
   0.48000   0.52576   0.00000
   0.49000   0.52928   0.00000
   0.50000   0.53273   0.00000
   0.51000   0.53610   0.00000
   0.61000   0.56647   0.00000
   0.71000   0.59189   0.00000
   0.81000   0.61369   0.00000
   0.91000   0.63283   0.00000
   1.01000   0.65000   0.00000
   1.11000   0.66570   0.00000
   1.21000   0.68032   0.00000
   1.31000   0.69410   0.00000
   1.41000   0.70722   0.00000
   1.51000   0.71981   0.00000
   1.61000   0.73191   0.00000
   1.71000   0.74355   0.00000
   1.81000   0.75470   0.00000
   1.91000   0.76533   0.00000
   2.01000   0.77538   0.00000
   2.11000   0.78479   0.00000
   2.21000   0.79348   0.00000
   2.31000   0.80140   0.00000
   2.41000   0.80848   0.00000
   2.51000   0.81467   0.00000
   2.61000   0.81993   0.00000
   2.71000   0.82426   0.00000
   2.81000   0.82765   0.00000
   2.91000   0.83015   0.00000
   3.01000   0.83184   0.00000
   3.11000   0.83281   0.00000
   3.21000   0.83324   0.00000
   3.31000   0.83333   0.00000
   3.41000   0.83333   0.00000
   3.51000   0.83333   0.00000
   3.61000   0.83333   0.00000
   3.71000   0.83333   0.00000
   3.81000   0.83333   0.00000
   3.91000   0.83333   0.00000
   4.01000   0.83333   0.00000
   4.11000   0.83333   0.00000
   4.21000   0.83333   0.00000
   4.31000   0.83333   0.00000
   4.41000   0.83333   0.00000
   4.51000   0.83333   0.00000
   4.61000   0.83333   0.00000
   4.71000   0.83333   0.00000
   4.81000   0.83333   0.00000
   4.91000   0.83333   0.00000
   5.01000   0.83333   0.00000
   5.11000   0.83333   0.00000
   5.21000   0.83333   0.00000
   5.31000   0.83333   0.00000
   5.41000   0.83333   0.00000
   5.51000   0.83333   0.00000
   5.61000   0.83333   0.00000
   5.71000   0.83333   0.00000
   5.81000   0.83333   0.00000
   5.91000   0.83333   0.00000
   6.01000   0.83333   0.00000
   6.11000   0.83333   0.00000
   6.21000   0.83333   0.00000
   6.31000   0.83333   0.00000
   6.41000   0.83333   0.00000
   6.51000   0.83333   0.00000
   6.61000   0.83333   0.00000
   6.71000   0.83333   0.00000
   6.81000   0.83333   0.00000
   6.91000   0.83333   0.00000
   7.01000   0.83333   0.00000
   7.11000   0.83333   0.00000
   7.21000   0.83333   0.00000
   7.31000   0.83333   0.00000
   7.41000   0.83333   0.00000
   7.51000   0.83333   0.00000
   7.61000   0.83333   0.00000
   7.71000   0.83333   0.00000
   7.81000   0.83333   0.00000
   7.91000   0.83333   0.00000
   8.01000   0.83333   0.00000
   8.11000   0.83333   0.00000
   8.21000   0.83333   0.00000
   8.31000   0.83333   0.00000
   8.41000   0.83333   0.00000
   8.51000   0.83333   0.00000
   8.61000   0.83333   0.00000
   8.71000   0.83333   0.00000
   8.81000   0.83333   0.00000
   8.91000   0.83333   0.00000
   9.01000   0.83333   0.00000
   9.11000   0.83333   0.00000
   9.21000   0.83333   0.00000
   9.31000   0.83333   0.00000
   9.41000   0.83333   0.00000
   9.51000   0.83333   0.00000
   9.61000   0.83333   0.00000
   9.71000   0.83333   0.00000
   9.81000   0.83333   0.00000
   9.91000   0.83333   0.00000
  10.01000   0.83333   0.00000
  10.11000   0.83333   0.00000
  10.21000   0.83333   0.00000
  10.31000   0.83333   0.00000
  10.41000   0.83333   0.00000
  10.51000   0.83333   0.00000
  10.61000   0.83333   0.00000
  10.71000   0.83329   0.00000
  10.81000   0.83267   0.00000
  10.91000   0.83073   0.00000
  11.01000   0.82692   0.00000
  11.11000   0.82087   0.00000
  11.21000   0.81233   0.00000
  11.31000   0.80116   0.00000
  11.41000   0.78730   0.00000
  11.51000   0.77076   0.00000
  11.61000   0.75162   0.00000
  11.71000   0.72999   0.00000
  11.81000   0.70602   0.00000
  11.91000   0.67988   0.00000
  12.01000   0.65178   0.00000
  12.11000   0.62193   0.00000
  12.21000   0.59057   0.00000
  12.31000   0.55794   0.00000
  12.41000   0.52430   0.00000
  12.51000   0.48991   0.00000
  12.61000   0.45504   0.00000
  12.71000   0.41995   0.00000
  12.81000   0.38493   0.00000
  12.91000   0.35024   0.00000
  13.01000   0.31618   0.00000
  13.11000   0.28303   0.00000
  13.21000   0.25108   0.00000
  13.31000   0.22066   0.00000
  13.41000   0.19213   0.00000
  13.51000   0.16593   0.00000
  13.61000   0.14264   0.00000
  13.71000   0.12307   0.00000
  13.81000   0.10832   0.00000
  13.91000   0.09970   0.00000
  14.01000   0.09744   0.00000
  14.02000   0.09708   0.00000
  14.03000   0.09661   0.00000
  14.04000   0.09604   0.00000
  14.05000   0.09537   0.00000
  14.06000   0.09458   0.00000
  14.07000   0.09369   0.00000
  14.08000   0.09268   0.00000
  14.09000   0.09155   0.00000
  14.10000   0.09030   0.00000
  14.11000   0.08892   0.00000
  14.12000   0.08741   0.00000
  14.13000   0.08576   0.00000
  14.14000   0.08395   0.00000
  14.15000   0.08199   0.00000
  14.16000   0.07986   0.00000
  14.17000   0.07754   0.00000
  14.18000   0.07502   0.00000
  14.19000   0.07227   0.00000
  14.20000   0.06928   0.00000
  14.21000   0.06600   0.00000
  14.22000   0.06240   0.00000
  14.23000   0.05840   0.00000
  14.24000   0.05393   0.00000
  14.25000   0.04885   0.00000
  14.26000   0.04295   0.00000
  14.27000   0.03582   0.00000
  14.28000   0.02650   0.00000
  14.29000   0.01010   0.00000
  14.29167   0.00000   0.00000
